Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
	Chacón,	polemista		1625	Castillo Solórzano, Alonso de					
	cuando los ignorantes, a pesar de su rudo natural y pocas letras, porfían en hacer duros y mal limados versos	polemista		1625	Castillo Solórzano, Alonso de					
	en campos de zafiro pace estrellas	ref		1625	Castillo Solórzano, Alonso de	Era del año la estación florida [Soledad Primera]	1613

