Id	Label	type	date
1625_el-culto-graduado	1625_el-culto-graduado	text	1625
Antonio Chacón	Antonio Chacón	polemista	
los ignorantes	los ignorantes	polemista	
en campos de zafiro pace estrellas	Era del año la estación florida [Soledad Primera]	ref	1613
