Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
	Luciano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	OC283	ref		1624	Jáuregui, Juan de	Al pie de un álamo negro,	1614			
	Luciano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Séneca	authority		1624	Jáuregui, Juan de			mentionné et cité		
	san Gregorio Nacianceno	authority		1624	Jáuregui, Juan de					
	Luciano	authority		1624	Jáuregui, Juan de					
	Cicerón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Aulo Gelio	authority		1624	Jáuregui, Juan de					
	Horacio	authority		1624	Jáuregui, Juan de					
	Tuberón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Cicerón	authority		1624	Jáuregui, Juan de					
	Aristóteles	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Vida, Girolamo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Horacio	authority		1624	Jáuregui, Juan de					
	Escalígero	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Virgilio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Horacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Séneca	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Marcial	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Persio	authority		1624	Jáuregui, Juan de					
	Focílides	authority		1624	Jáuregui, Juan de					
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	el autor a Herenio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Horacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Peregrino filósofo	Aulo Gelio		1624	Jáuregui, Juan de					
	Boccaccio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Tito Livio	authority		1624	Jáuregui, Juan de			cité		
	San Agustín	authority		1624	Jáuregui, Juan de					
	Cicerón	authority		1624	Jáuregui, Juan de					
	Demetrio Falereo	authority		1624	Jáuregui, Juan de					
	Vida, Girolamo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Escalígero	authority		1624	Jáuregui, Juan de					
	Lucrecio	authority		1624	Jáuregui, Juan de					
	Manilio, Marco	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Arato	authority		1624	Jáuregui, Juan de					
	Santo Tomás	authority		1624	Jáuregui, Juan de					
	Aulo Gelio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Vida, Girolamo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Florencia, Jerónimo de	authority		1624	Jáuregui, Juan de					
	OC462	ref		1624	Jáuregui, Juan de	Doce sermones estampó Florencia,	¿1621?			

