Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1636_compendio-poetico	don Luis	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	OC255	ref		1636	Villar, Francisco del	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	OC264C	ref		1636	Villar, Francisco del	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1636_compendio-poetico	OC264B	ref		1636	Villar, Francisco del	Era del año la estación florida [Soledad Primera]	1613
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	OC264B	ref		1636	Villar, Francisco del	Era del año la estación florida [Soledad Primera]	1613
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Pedro Díaz de Rivas	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	don Luis	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Homero español	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	un docto comentador	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	príncipe de los poetas líricos	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	tan grande poeta	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Rodiginio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Don Luis	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Quintiliano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Horacio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	OC128	ref		1636	Villar, Francisco del	Vuelas, oh tortolilla	1602
1636_compendio-poetico	OC174	ref		1636	Villar, Francisco del	Al sol peinaba Clori sus cabellos	1607
1636_compendio-poetico	OC192	ref		1636	Villar, Francisco del	Las flores del romero	1608
1636_compendio-poetico	OC91	ref		1636	Villar, Francisco del	Ya no más, ceguezuelo hermano	1592
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Francisco Cascales	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Horacio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Cascales	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Don Luis	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	don Luis	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Lipsio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	OC239	ref		1636	Villar, Francisco del	Ícaro de bayeta, si de pino	1611
1636_compendio-poetico	OC180	ref		1636	Villar, Francisco del	Mientras Corinto, en lágrimas deshecho	1608
1636_compendio-poetico	OC257	ref		1636	Villar, Francisco del	Cuán venerables que son	1612
1636_compendio-poetico	Plinio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	OC240	ref		1636	Villar, Francisco del	Oh bien haya Jaén, que en lienzo prieto	1611
1636_compendio-poetico	OC122	ref		1636	Villar, Francisco del	Allá darás, rayo	1600
1636_compendio-poetico	OC445	ref		1636	Villar, Francisco del	Que pretenda el mercader	1610
1636_compendio-poetico	OC407	ref		1636	Villar, Francisco del	Tejió de piernas de araña	1624
1636_compendio-poetico	OC121	ref		1636	Villar, Francisco del	Los dineros del sacristán	1600
1636_compendio-poetico	OC111	ref		1636	Villar, Francisco del	Quién es aquel caballero	1597
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	don Luis	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Marcial	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	OC149	ref		1636	Villar, Francisco del	¿Qué lleva el señor Esgueva?	1603
1636_compendio-poetico	OC230	ref		1636	Villar, Francisco del	Aunque entiendo poco griego	1610
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	nuestro poeta	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Marcial	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Ennio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Furio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Propercio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Persio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Horacio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Catulo	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Ovidio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Sannazaro	authority		1636	Villar, Francisco del					
